aid,bvid,title,播放量,点赞数,投币数,属地,视频时长(秒),视频时长(分:秒),up主,up主ID,发布时间,视频分类,收藏数,分享数,评论数,弹幕数
114262387198626,BV1G6ZhYFE3t,今天又是蒸菜一锅出，操作时间加起来大概5分钟，还是很便捷的,1180812,70047,1665,福建,121,2:01,派大林小小厨,495054418,2025-04-01 19:15:50,美食制作,18319,1521,443,247
114256313849630,BV1GWZnYcEhD,妈妈做的家常晚餐，今晚的每一道菜都好吃到泪崩！！！ 香煎沙茶猪排+蟹黄豆腐煲+蒜香口蘑鸡+白贝酿虾滑+沙姜脆肉鲩+腊肠炒荷兰豆,635161,48372,2852,广东,127,2:07,喉结儿,2119090681,2025-03-31 17:43:45,美食制作,42249,5159,528,221
114256179696896,BV1B3ZnYuEie,一个人花2988体验帝王蟹六吃，你们觉得值得吗,1302049,18310,2414,四川,476,7:56,温油辣辣U,1244310984,2025-04-01 17:30:00,美食侦探,14417,431,278,565
114256901047256,BV15HZpYgELN,怎么做到芋头吃出哈根达斯的感觉！,2200890,77535,409,广东,54,0:54,二凶凶,1355049831,2025-04-01 12:53:29,美食制作,3797,214,1686,359
114255676312469,BV1nfZ7YzEbK,第一次体验开斋饭，给肚子“内存”都干烧了,284256,26507,385,湖南,195,3:15,玲子reiko-,662658732,2025-03-31 17:05:00,美食侦探,705,145,133,97
114262118762809,BV1vmZtYoEv5,【上青杰哥 】他们背着我搞这么好的私货？,379085,32505,1047,福建,264,4:24,上青杰哥,1298299527,2025-04-01 18:02:26,美食记录,2000,291,329,432
114233110954888,BV1ESZuYCE38,辣辣辣辣辣辣辣辣！,5065109,180611,64078,上海,1122,18:42,小傲想睡觉,446430908,2025-03-28 19:30:58,美食制作,68169,3252,2573,14183
114252387975392,BV13oZzYnEdi,大家看看这是啥？拼夕夕无头烧鹅,557870,6953,594,江西,240,4:00,路由器LAN,25135805,2025-03-31 10:00:00,美食测评,952,123,1245,935
114262890514035,BV1CvZ8YCE64,《健身爱好者没财富自由的的生活》,732297,40199,857,广东,70,1:10,记录小生活的蛋黄派,291054838,2025-04-01 21:19:18,美食测评,1007,223,317,202
114257572140111,BV1YyZHYvEVw,日本社畜吃点啥？午餐105元现做汉堡肉没吃饱，晚餐80元预制汉堡肉吃到撑,446932,26723,1402,日本,212,3:32,大阪流浪社长,15874359,2025-03-31 22:51:06,美食记录,1294,353,395,267
114255726646629,BV1sRZ7YGEw4,盘点一些小众，但味道不错的蔬菜，第18期～！,287218,24098,676,山东,120,2:00,天才低卡餐,420315472,2025-03-31 17:20:00,美食制作,1889,178,623,759
114256112518161,BV1V7ZnYNEor,7种溶液养水宝宝后续……,3105146,26547,316,河北,68,1:08,沫沫超爱喝,3546667011804115,2025-03-31 16:36:42,美食记录,6446,126,165,114
114239721177219,BV1R3odYwEbG,烹饪基础问题：大火与小火。都是100度了，那不都一样吗？,1738598,71984,26388,广东,575,9:35,硬核料理男子Tiger,12383027,2025-03-28 19:06:44,美食制作,45978,8337,3888,2603
114262471217710,BV1RBZhYhEyA,谁也没告诉我，在家做蛋糕这么简单啊！,1003235,8305,172,河北,37,0:37,粉面米蛋,3546743671097998,2025-04-01 19:31:24,美食制作,3369,196,192,36
114261212798726,BV1NXZbYVEbx,美国比弗利山庄，5美元一份的剩菜盲盒， 充满了惊喜还是惊吓?,313059,22618,481,美国,196,3:16,SaoRui的留学生活,433347158,2025-04-01 14:13:59,美食侦探,2361,189,216,1495
114222172210819,BV11ioxYYELQ,我可真会改造，哈哈哈。 #美食 #改造前VS改造后,3259019,259666,2165,云南,11,0:11,墨拦王昭君,1440143234,2025-03-25 16:43:36,美食记录,12632,19280,2141,10307
114250022393806,BV14sZqYeEgc,探索日本网红拉面店！超人气拉面馆，真的好吃吗？【大阪篇】,807001,36182,7858,日本,639,10:39,平平出击,405279279,2025-03-30 18:00:00,美食侦探,2462,727,577,1443
114227557701156,BV1S1oeYbExH,以前跟着水渠练漂移刀，现在跟着良心练铁布衫。,7997866,170308,1835,云南,15,0:15,食深烧腊,3493269294025264,2025-03-26 15:32:19,美食测评,7006,1065,1029,245
114244989289599,BV1BYZcYpEQG,"别翻了！你最中意的""辣炒花甲""做法在这",761499,24418,6034,安徽,172,2:52,美食强,240869947,2025-03-29 17:29:53,美食记录,36754,3621,700,400
